ga	versao	origem	scope
br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-spring	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-validation	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-cache	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-jpa	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-web	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-feign	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-privacy	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-audit	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-jdempotent	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-audit-api	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-jdempotent-api	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-validation-api	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-foundation-codegen	1.2.0-SNAPSHOT	propriedade:project.version	compile
br.com.sawcunhaos:scos-bom	1.4.4-SNAPSHOT	propria	import
io.projectreactor:reactor-core	3.8.6	propria	compile
com.tngtech.archunit:archunit-junit5	1.5.0	propria	test
