tipo	ga	versao	origem	scope	divergente
direta	br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-spring	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-validation	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-cache	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-jpa	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-web	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-feign	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-privacy	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-audit	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-jdempotent	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-audit-api	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-jdempotent-api	1.2.0-SNAPSHOT	effective-pom	test	
direta	br.com.sawcunhaos:scos-foundation-validation-api	1.2.0-SNAPSHOT	effective-pom	test	
direta	com.tngtech.archunit:archunit-junit5	1.5.0	gerenciada:dependencyManagement (confirmada por effective-pom)	test	
direta	org.junit.jupiter:junit-jupiter	6.0.3	effective-pom	test	
transitiva	br.com.caelum.stella:caelum-stella-core	2.2.2	transitiva	test	
transitiva	ch.qos.logback:logback-classic	1.5.38	transitiva	test	
transitiva	ch.qos.logback:logback-core	1.5.38	transitiva	test	
transitiva	com.fasterxml.jackson.core:jackson-annotations	2.22	transitiva	test	
transitiva	com.fasterxml.woodstox:woodstox-core	7.2.1	transitiva	test	
transitiva	com.fasterxml:classmate	1.7.3	transitiva	test	
transitiva	com.github.spotbugs:spotbugs-annotations	4.9.8	transitiva	provided	
transitiva	com.opencsv:opencsv	5.12.0	transitiva	test	
transitiva	com.sun.istack:istack-commons-runtime	4.1.2	transitiva	test	
transitiva	com.tngtech.archunit:archunit	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-api	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine-api	1.5.0	transitiva	test	
transitiva	com.zaxxer:HikariCP	7.0.2	transitiva	test	
transitiva	commons-io:commons-io	2.22.0	transitiva	test	
transitiva	commons-logging:commons-logging	1.3.6	transitiva	test	
transitiva	de.siegmar:logback-gelf	6.1.2	transitiva	test	
transitiva	io.github.openfeign.querydsl:querydsl-core	7.6	transitiva	test	
transitiva	io.github.openfeign.querydsl:querydsl-jpa	7.6	transitiva	test	
transitiva	io.github.openfeign:feign-core	13.6.1	transitiva	test	
transitiva	io.lettuce:lettuce-core	7.5.2.RELEASE	transitiva	test	
transitiva	io.micrometer:micrometer-commons	1.17.1	transitiva	test	
transitiva	io.micrometer:micrometer-core	1.17.1	transitiva	test	
transitiva	io.micrometer:micrometer-jakarta9	1.17.1	transitiva	test	
transitiva	io.micrometer:micrometer-observation	1.17.1	transitiva	test	
transitiva	io.netty:netty-buffer	4.2.17.Final	transitiva	test	
transitiva	io.netty:netty-codec-base	4.2.17.Final	transitiva	test	
transitiva	io.netty:netty-codec-dns	4.2.17.Final	transitiva	test	
transitiva	io.netty:netty-common	4.2.17.Final	transitiva	test	
transitiva	io.netty:netty-handler	4.2.17.Final	transitiva	test	
transitiva	io.netty:netty-resolver	4.2.17.Final	transitiva	test	
transitiva	io.netty:netty-resolver-dns	4.2.17.Final	transitiva	test	
transitiva	io.netty:netty-transport	4.2.17.Final	transitiva	test	
transitiva	io.netty:netty-transport-native-unix-common	4.2.17.Final	transitiva	test	
transitiva	io.projectreactor:reactor-core	3.8.6	transitiva	test	
transitiva	jakarta.activation:jakarta.activation-api	2.1.4	transitiva	test	
transitiva	jakarta.annotation:jakarta.annotation-api	3.0.0	transitiva	test	
transitiva	jakarta.inject:jakarta.inject-api	2.0.1	transitiva	test	
transitiva	jakarta.persistence:jakarta.persistence-api	3.2.0	transitiva	test	
transitiva	jakarta.transaction:jakarta.transaction-api	2.0.1	transitiva	test	
transitiva	jakarta.validation:jakarta.validation-api	3.1.1	transitiva	test	
transitiva	jakarta.xml.bind:jakarta.xml.bind-api	4.0.5	transitiva	test	
transitiva	javax.xml.bind:jaxb-api	2.3.1	transitiva	test	
transitiva	net.bytebuddy:byte-buddy	1.18.11	transitiva	test	
transitiva	org.antlr:antlr4-runtime	4.13.2	transitiva	test	
transitiva	org.apache.commons:commons-collections4	4.6.0	transitiva	test	
transitiva	org.apache.commons:commons-lang3	3.20.0	transitiva	test	
transitiva	org.apache.commons:commons-text	1.15.0	transitiva	test	
transitiva	org.apache.logging.log4j:log4j-api	2.25.5	transitiva	test	
transitiva	org.apache.logging.log4j:log4j-to-slf4j	2.25.5	transitiva	test	
transitiva	org.apache.tomcat.embed:tomcat-embed-core	11.0.24	transitiva	test	
transitiva	org.apache.tomcat.embed:tomcat-embed-el	11.0.24	transitiva	test	
transitiva	org.apache.tomcat.embed:tomcat-embed-websocket	11.0.24	transitiva	test	
transitiva	org.apiguardian:apiguardian-api	1.1.2	transitiva	test	
transitiva	org.aspectj:aspectjweaver	1.9.25.1	transitiva	compile	
transitiva	org.bouncycastle:bcprov-jdk18on	1.85.2	transitiva	test	
transitiva	org.codehaus.woodstox:stax2-api	4.3.0	transitiva	test	
transitiva	org.eclipse.angus:angus-activation	2.0.3	transitiva	test	
transitiva	org.glassfish.jaxb:jaxb-core	4.0.9	transitiva	test	
transitiva	org.glassfish.jaxb:jaxb-runtime	4.0.9	transitiva	test	
transitiva	org.glassfish.jaxb:txw2	4.0.9	transitiva	test	
transitiva	org.hdrhistogram:HdrHistogram	2.2.2	transitiva	test	
transitiva	org.hibernate.models:hibernate-models	1.1.1	transitiva	test	
transitiva	org.hibernate.orm:hibernate-core	7.4.5.Final	transitiva	test	
transitiva	org.hibernate.validator:hibernate-validator	9.1.3.Final	transitiva	test	
transitiva	org.jboss.logging:jboss-logging	3.6.3.Final	transitiva	test	
transitiva	org.jspecify:jspecify	1.0.1	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-api	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-engine	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-params	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-commons	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-engine	6.0.3	transitiva	test	
transitiva	org.liquibase:liquibase-core	5.0.4	transitiva	test	
transitiva	org.opentest4j:opentest4j	1.3.0	transitiva	test	
transitiva	org.projectlombok:lombok	1.18.46	transitiva	test	
transitiva	org.reactivestreams:reactive-streams	1.0.4	transitiva	test	
transitiva	org.slf4j:jul-to-slf4j	2.0.18	transitiva	test	
transitiva	org.slf4j:slf4j-api	2.0.18	transitiva	test	
transitiva	org.springframework.boot:spring-boot	4.1.1	transitiva	test	
transitiva	org.springframework.boot:spring-boot-actuator	4.1.1	transitiva	test	
