de	para	tipo	origem
br.com.sawcunhaos.foundation.audit.api.AuditAction	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.audit.api.AuditAction	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.audit.api.AuditAction	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.audit.api.AuditAction	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.audit.api.AuditAction	java.lang.System	jdk	java.base
br.com.sawcunhaos.foundation.audit.api.Auditable	br.com.sawcunhaos.foundation.audit.api.AuditAction	interno	classes
br.com.sawcunhaos.foundation.audit.api.Auditable	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.audit.api.Auditable	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.audit.api.Auditable	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.audit.api.Auditable	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.foundation.audit.api.Auditable	java.lang.annotation.Target	jdk	java.base
