de	para	tipo	origem
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	br.com.sawcunhaos.foundation.audit.configuration.properties.ScosAuditPerformanceProperties	interno	classes
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	br.com.sawcunhaos.foundation.audit.service.ScosAuditQueue	interno	classes
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	org.springframework.boot.autoconfigure.AutoConfiguration	externo	spring-boot-autoconfigure-4.1.1.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	org.springframework.boot.autoconfigure.EnableAutoConfiguration	externo	spring-boot-autoconfigure-4.1.1.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	org.springframework.boot.autoconfigure.condition.ConditionalOnProperty	externo	spring-boot-autoconfigure-4.1.1.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	org.springframework.boot.context.properties.EnableConfigurationProperties	externo	spring-boot-4.1.1.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	org.springframework.context.annotation.Bean	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	org.springframework.context.annotation.EnableAspectJAutoProxy	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	org.springframework.scheduling.annotation.EnableAsync	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditConfiguration	org.springframework.scheduling.annotation.EnableScheduling	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditLiquibaseConfiguration	br.com.sawcunhaos.foundation.audit.configuration.properties.ScosAuditLiquibaseProperties	interno	classes
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditLiquibaseConfiguration	java.io.File	jdk	java.base
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditLiquibaseConfiguration	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditLiquibaseConfiguration	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditLiquibaseConfiguration	javax.sql.DataSource	jdk	java.sql
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditLiquibaseConfiguration	liquibase.integration.spring.MultiTenantSpringLiquibase	externo	liquibase-core-5.0.4.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditLiquibaseConfiguration	org.springframework.beans.factory.annotation.Qualifier	externo	spring-beans-7.0.9.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditLiquibaseConfiguration	org.springframework.boot.autoconfigure.condition.ConditionalOnProperty	externo	spring-boot-autoconfigure-4.1.1.jar
br.com.sawcunhaos.foundation.audit.configuration.ScosAuditLiquibaseConfiguration	org.springframework.boot.context.properties.EnableConfigurationProperties	externo	spring-boot-4.1.1.jar
