de	para	tipo	origem
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	interno	classes
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	java.lang.Exception	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	java.lang.Throwable	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	org.springframework.data.redis.serializer.RedisSerializer	externo	spring-data-redis-4.1.1.jar
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	org.springframework.data.redis.serializer.SerializationException	externo	spring-data-redis-4.1.1.jar
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	tools.jackson.databind.DeserializationFeature	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	tools.jackson.databind.JsonNode	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	tools.jackson.databind.ObjectMapper	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	tools.jackson.databind.SerializationFeature	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	tools.jackson.databind.cfg.MapperBuilder	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	tools.jackson.dataformat.smile.SmileMapper	externo	jackson-dataformat-smile-3.2.2.jar
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	tools.jackson.dataformat.smile.SmileMapper$Builder	externo	jackson-dataformat-smile-3.2.2.jar
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	interno	classes
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	java.lang.Record	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	java.lang.invoke.TypeDescriptor	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	java.lang.runtime.ObjectMethods	jdk	java.base
br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer$Payload	tools.jackson.databind.JsonNode	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.cache.ScosCacheConfiguration	br.com.sawcunhaos.foundation.cache.PolymorphicRedisSerializer	interno	classes
br.com.sawcunhaos.foundation.cache.ScosCacheConfiguration	br.com.sawcunhaos.foundation.cache.ScosCacheConfiguration$1	interno	classes
