tipo	ga	versao	origem	scope	divergente
direta	br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	effective-pom	compile	
direta	org.springframework.boot:spring-boot-starter-cache	4.1.1	effective-pom	compile	
direta	org.springframework.boot:spring-boot-starter-data-redis	4.1.1	effective-pom	compile	
direta	org.springframework.cloud:spring-cloud-context	5.0.2	effective-pom	compile	
direta	jakarta.validation:jakarta.validation-api	3.1.1	effective-pom	compile	
direta	tools.jackson.dataformat:jackson-dataformat-smile	3.2.2	effective-pom	compile	
direta	org.projectlombok:lombok	1.18.46	effective-pom	compile	
direta	com.tngtech.archunit:archunit-junit5	1.5.0	gerenciada:dependencyManagement (confirmada por effective-pom)	test	
direta	org.junit.jupiter:junit-jupiter	6.0.3	effective-pom	test	
direta	org.mockito:mockito-core	5.23.0	effective-pom	test	
direta	org.mockito:mockito-junit-jupiter	5.23.0	effective-pom	test	
transitiva	ch.qos.logback:logback-classic	1.5.38	transitiva	compile	
transitiva	ch.qos.logback:logback-core	1.5.38	transitiva	compile	
transitiva	com.fasterxml.jackson.core:jackson-annotations	2.22	transitiva	compile	
transitiva	com.github.spotbugs:spotbugs-annotations	4.9.8	transitiva	provided	
transitiva	com.tngtech.archunit:archunit	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-api	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine-api	1.5.0	transitiva	test	
transitiva	commons-logging:commons-logging	1.3.6	transitiva	compile	
transitiva	io.lettuce:lettuce-core	7.5.2.RELEASE	transitiva	compile	
transitiva	io.micrometer:micrometer-commons	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-observation	1.17.1	transitiva	compile	
transitiva	io.netty:netty-buffer	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-base	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-dns	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-common	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-handler	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-resolver	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-resolver-dns	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-transport	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-transport-native-unix-common	4.2.17.Final	transitiva	compile	
transitiva	io.projectreactor:reactor-core	3.8.6	transitiva	compile	
transitiva	jakarta.activation:jakarta.activation-api	2.1.4	transitiva	runtime	
transitiva	jakarta.annotation:jakarta.annotation-api	3.0.0	transitiva	compile	
transitiva	jakarta.xml.bind:jakarta.xml.bind-api	4.0.5	transitiva	runtime	
transitiva	net.bytebuddy:byte-buddy	1.18.11	transitiva	test	
transitiva	net.bytebuddy:byte-buddy-agent	1.18.11	transitiva	test	
transitiva	org.apache.commons:commons-lang3	3.20.0	transitiva	compile	
transitiva	org.apache.logging.log4j:log4j-api	2.25.5	transitiva	compile	
transitiva	org.apache.logging.log4j:log4j-to-slf4j	2.25.5	transitiva	compile	
transitiva	org.apiguardian:apiguardian-api	1.1.2	transitiva	test	
transitiva	org.jspecify:jspecify	1.0.1	transitiva	compile	
transitiva	org.junit.jupiter:junit-jupiter-api	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-engine	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-params	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-commons	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-engine	6.0.3	transitiva	test	
transitiva	org.objenesis:objenesis	3.3	transitiva	test	
transitiva	org.opentest4j:opentest4j	1.3.0	transitiva	test	
transitiva	org.reactivestreams:reactive-streams	1.0.4	transitiva	compile	
transitiva	org.slf4j:jul-to-slf4j	2.0.18	transitiva	compile	
transitiva	org.slf4j:slf4j-api	2.0.18	transitiva	compile	
transitiva	org.springframework.boot:spring-boot	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-autoconfigure	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-cache	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-data-commons	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-data-redis	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-netty	4.1.1	transitiva	runtime	
transitiva	org.springframework.boot:spring-boot-persistence	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-starter	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-starter-logging	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-transaction	4.1.1	transitiva	compile	
transitiva	org.springframework.data:spring-data-commons	4.1.1	transitiva	compile	
transitiva	org.springframework.data:spring-data-keyvalue	4.1.1	transitiva	compile	
transitiva	org.springframework.data:spring-data-redis	4.1.1	transitiva	compile	
transitiva	org.springframework.security:spring-security-crypto	7.1.1	transitiva	compile	
transitiva	org.springframework:spring-aop	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-beans	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-context	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-context-support	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-core	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-expression	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-messaging	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-oxm	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-tx	7.0.9	transitiva	compile	
transitiva	org.yaml:snakeyaml	2.6	transitiva	compile	
transitiva	redis.clients.authentication:redis-authx-core	0.1.1-beta2	transitiva	compile	
transitiva	tools.jackson.core:jackson-core	3.2.2	transitiva	compile	
transitiva	tools.jackson.core:jackson-databind	3.2.2	transitiva	compile	
