de	para	tipo	origem
br.com.sawcunhaos.foundation.core.enums.Constant	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.Constant	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.Constant	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.Constant	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.Constant	java.lang.System	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ScosExceptionCode	br.com.sawcunhaos.foundation.core.specification.ExceptionCode	interno	classes
br.com.sawcunhaos.foundation.core.enums.ScosExceptionCode	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ScosExceptionCode	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ScosExceptionCode	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ScosExceptionCode	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ScosExceptionCode	java.lang.System	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.SpecificationFunction	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.SpecificationFunction	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.SpecificationFunction	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.SpecificationFunction	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.SpecificationFunction	java.lang.System	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ValueType	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ValueType	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ValueType	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ValueType	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.core.enums.ValueType	java.lang.System	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.MethodNotImplementedException	java.lang.RuntimeException	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.MethodNotImplementedException	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.MethodNotImplementedException	java.lang.Throwable	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.ScosException	br.com.sawcunhaos.foundation.core.specification.ExceptionCode	interno	classes
br.com.sawcunhaos.foundation.core.exception.ScosException	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.ScosException	java.lang.RuntimeException	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.ScosException	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.ScosException	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.ScosException	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.ScosException	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.foundation.core.exception.ScosException	java.lang.invoke.MethodType	jdk	java.base
