de	para	tipo	origem
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	feign.Response	externo	feign-core-13.6.1.jar
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	feign.Response$Body	externo	feign-core-13.6.1.jar
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	feign.Util	externo	feign-core-13.6.1.jar
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	feign.codec.Decoder	externo	feign-core-13.6.1.jar
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	java.io.BufferedReader	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	java.io.IOException	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	java.io.Reader	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	java.lang.Throwable	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	java.lang.reflect.Type	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	java.nio.charset.Charset	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	tools.jackson.core.JacksonException	externo	jackson-core-3.2.2.jar
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	tools.jackson.databind.JavaType	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.feign.JacksonDecoderCustom	tools.jackson.databind.ObjectMapper	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	feign.RequestTemplate	externo	feign-core-13.6.1.jar
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	feign.Util	externo	feign-core-13.6.1.jar
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	feign.codec.EncodeException	externo	feign-core-13.6.1.jar
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	feign.codec.Encoder	externo	feign-core-13.6.1.jar
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	java.lang.Throwable	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	java.lang.reflect.Type	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	java.nio.charset.Charset	jdk	java.base
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	tools.jackson.core.JacksonException	externo	jackson-core-3.2.2.jar
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	tools.jackson.databind.JavaType	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	tools.jackson.databind.ObjectMapper	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	tools.jackson.databind.ObjectWriter	externo	jackson-databind-3.2.2.jar
br.com.sawcunhaos.foundation.feign.JacksonEncoderCustom	tools.jackson.databind.type.TypeFactory	externo	jackson-databind-3.2.2.jar
