de	para	tipo	origem
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentFailurePolicy	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentFailurePolicy	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentFailurePolicy	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentFailurePolicy	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentFailurePolicy	java.lang.System	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentKeyMismatchPolicy	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentKeyMismatchPolicy	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentKeyMismatchPolicy	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentKeyMismatchPolicy	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.IdempotentKeyMismatchPolicy	java.lang.System	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentId	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentId	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentId	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentId	java.lang.annotation.Target	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentIgnore	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentIgnore	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentIgnore	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentIgnore	java.lang.annotation.Target	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentProperty	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentProperty	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentProperty	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentProperty	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentProperty	java.lang.annotation.Target	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentRequestPayload	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentRequestPayload	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentRequestPayload	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentRequestPayload	java.lang.annotation.Target	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	br.com.sawcunhaos.foundation.jdempotent.api.IdempotentFailurePolicy	interno	classes
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	br.com.sawcunhaos.foundation.jdempotent.api.IdempotentKeyMismatchPolicy	interno	classes
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	br.com.sawcunhaos.foundation.jdempotent.api.KeySource	interno	classes
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	java.util.concurrent.TimeUnit	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.KeySource	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.KeySource	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.KeySource	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.KeySource	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.jdempotent.api.KeySource	java.lang.System	jdk	java.base
