de	para	tipo	origem
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.api.IdempotentFailurePolicy	externo	scos-foundation-jdempotent-api-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.api.JdempotentId	externo	scos-foundation-jdempotent-api-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.api.JdempotentRequestPayload	externo	scos-foundation-jdempotent-api-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	externo	scos-foundation-jdempotent-api-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.api.KeySource	externo	scos-foundation-jdempotent-api-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect$1	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.callback.ErrorConditionalCallback	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.chain.AnnotationChain	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.chain.JdempotentDefaultChain	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.chain.JdempotentIdAnnotationChain	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.chain.JdempotentIgnoreAnnotationChain	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.chain.JdempotentNoAnnotationChain	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.chain.JdempotentPropertyAnnotationChain	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.constant.CryptographyAlgorithm	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.datasource.IdempotentRepository	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.datasource.InMemoryIdempotentRepository	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.exception.IdempotentInProgressException	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.exception.IdempotentPayloadMismatchException	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.exception.IdempotentReplayedFailureException	interno	classes
br.com.sawcunhaos.foundation.jdempotent.core.aspect.IdempotentAspect	br.com.sawcunhaos.foundation.jdempotent.core.generator.DefaultKeyGenerator	interno	classes
