de	para	tipo	origem
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	br.com.sawcunhaos.foundation.core.enums.SpecificationFunction	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	jakarta.persistence.criteria.CriteriaBuilder	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	jakarta.persistence.criteria.CriteriaQuery	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	jakarta.persistence.criteria.Expression	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	jakarta.persistence.criteria.Path	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	jakarta.persistence.criteria.Predicate	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	jakarta.persistence.criteria.Root	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.Comparable	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.IllegalArgumentException	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.invoke.LambdaMetafactory	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.lang.invoke.SerializedLambda	jdk	java.base
br.com.sawcunhaos.foundation.jpa.SpecificationRepository	java.time.LocalDate	jdk	java.base
