tipo	ga	versao	origem	scope	divergente
direta	br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-validation	1.2.0-SNAPSHOT	effective-pom	compile	
direta	org.springframework.boot:spring-boot-starter-data-jpa	4.1.1	effective-pom	compile	
direta	io.github.openfeign.querydsl:querydsl-jpa	7.6	effective-pom	compile	
direta	org.liquibase:liquibase-core	5.0.4	effective-pom	compile	
direta	tools.jackson.core:jackson-databind	3.2.2	effective-pom	compile	
direta	org.projectlombok:lombok	1.18.46	effective-pom	compile	
direta	com.tngtech.archunit:archunit-junit5	1.5.0	gerenciada:dependencyManagement (confirmada por effective-pom)	test	
direta	org.junit.jupiter:junit-jupiter	6.0.3	effective-pom	test	
direta	org.mockito:mockito-core	5.23.0	effective-pom	test	
direta	org.mockito:mockito-junit-jupiter	5.23.0	effective-pom	test	
transitiva	br.com.caelum.stella:caelum-stella-core	2.2.2	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-validation-api	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	ch.qos.logback:logback-classic	1.5.38	transitiva	compile	
transitiva	ch.qos.logback:logback-core	1.5.38	transitiva	compile	
transitiva	com.fasterxml.jackson.core:jackson-annotations	2.22	transitiva	compile	
transitiva	com.github.spotbugs:spotbugs-annotations	4.9.8	transitiva	provided	
transitiva	com.opencsv:opencsv	5.12.0	transitiva	compile	
transitiva	com.sun.istack:istack-commons-runtime	4.1.2	transitiva	compile	
transitiva	com.tngtech.archunit:archunit	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-api	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine-api	1.5.0	transitiva	test	
transitiva	com.zaxxer:HikariCP	7.0.2	transitiva	compile	
transitiva	commons-io:commons-io	2.22.0	transitiva	compile	
transitiva	commons-logging:commons-logging	1.3.6	transitiva	compile	
transitiva	io.github.openfeign.querydsl:querydsl-core	7.6	transitiva	compile	
transitiva	io.micrometer:micrometer-commons	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-observation	1.17.1	transitiva	compile	
transitiva	io.projectreactor:reactor-core	3.8.6	transitiva	compile	
transitiva	jakarta.activation:jakarta.activation-api	2.1.4	transitiva	compile	
transitiva	jakarta.annotation:jakarta.annotation-api	3.0.0	transitiva	compile	
transitiva	jakarta.inject:jakarta.inject-api	2.0.1	transitiva	runtime	
transitiva	jakarta.persistence:jakarta.persistence-api	3.2.0	transitiva	compile	
transitiva	jakarta.transaction:jakarta.transaction-api	2.0.1	transitiva	compile	
transitiva	jakarta.validation:jakarta.validation-api	3.1.1	transitiva	compile	
transitiva	jakarta.xml.bind:jakarta.xml.bind-api	4.0.5	transitiva	compile	
transitiva	javax.xml.bind:jaxb-api	2.3.1	transitiva	compile	
transitiva	net.bytebuddy:byte-buddy	1.18.11	transitiva	runtime	
transitiva	net.bytebuddy:byte-buddy-agent	1.18.11	transitiva	test	
transitiva	org.antlr:antlr4-runtime	4.13.2	transitiva	compile	
transitiva	org.apache.commons:commons-collections4	4.6.0	transitiva	compile	
transitiva	org.apache.commons:commons-lang3	3.20.0	transitiva	compile	
transitiva	org.apache.commons:commons-text	1.15.0	transitiva	compile	
transitiva	org.apache.logging.log4j:log4j-api	2.25.5	transitiva	compile	
transitiva	org.apache.logging.log4j:log4j-to-slf4j	2.25.5	transitiva	compile	
transitiva	org.apiguardian:apiguardian-api	1.1.2	transitiva	test	
transitiva	org.aspectj:aspectjweaver	1.9.25.1	transitiva	compile	
transitiva	org.eclipse.angus:angus-activation	2.0.3	transitiva	runtime	
transitiva	org.glassfish.jaxb:jaxb-core	4.0.9	transitiva	compile	
transitiva	org.glassfish.jaxb:jaxb-runtime	4.0.9	transitiva	compile	
transitiva	org.glassfish.jaxb:txw2	4.0.9	transitiva	compile	
transitiva	org.hibernate.models:hibernate-models	1.1.1	transitiva	runtime	
transitiva	org.hibernate.orm:hibernate-core	7.4.5.Final	transitiva	compile	
transitiva	org.jboss.logging:jboss-logging	3.6.3.Final	transitiva	runtime	
transitiva	org.jspecify:jspecify	1.0.1	transitiva	compile	
transitiva	org.junit.jupiter:junit-jupiter-api	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-engine	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-params	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-commons	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-engine	6.0.3	transitiva	test	
transitiva	org.objenesis:objenesis	3.3	transitiva	test	
transitiva	org.opentest4j:opentest4j	1.3.0	transitiva	test	
transitiva	org.reactivestreams:reactive-streams	1.0.4	transitiva	compile	
transitiva	org.slf4j:jul-to-slf4j	2.0.18	transitiva	compile	
transitiva	org.slf4j:slf4j-api	2.0.18	transitiva	compile	
transitiva	org.springframework.boot:spring-boot	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-autoconfigure	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-data-commons	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-data-jpa	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-hibernate	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-jdbc	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-jpa	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-persistence	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-sql	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-starter	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-starter-jdbc	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-starter-logging	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-transaction	4.1.1	transitiva	compile	
transitiva	org.springframework.data:spring-data-commons	4.1.1	transitiva	compile	
transitiva	org.springframework.data:spring-data-jpa	4.1.1	transitiva	compile	
transitiva	org.springframework:spring-aop	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-aspects	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-beans	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-context	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-core	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-expression	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-jdbc	7.0.9	transitiva	compile	
