de	para	tipo	origem
br.com.sawcunhaos.foundation.privacy.DataMaskingService	br.com.sawcunhaos.foundation.privacy.core.JsonMasker	interno	classes
br.com.sawcunhaos.foundation.privacy.DataMaskingService	br.com.sawcunhaos.foundation.privacy.core.MaskingEngine	interno	classes
br.com.sawcunhaos.foundation.privacy.DataMaskingService	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.privacy.DataMaskingService	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationBodyComponent	br.com.sawcunhaos.foundation.privacy.DataMaskingService	interno	classes
br.com.sawcunhaos.foundation.privacy.SanitizationBodyComponent	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationBodyComponent	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	br.com.sawcunhaos.foundation.privacy.DataMaskingService	interno	classes
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.lang.invoke.LambdaMetafactory	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.util.LinkedHashMap	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.util.Map	jdk	java.base
br.com.sawcunhaos.foundation.privacy.SanitizationHeadersComponent	java.util.function.BiConsumer	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader$BuiltinPattern	interno	classes
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	br.com.sawcunhaos.foundation.privacy.config.PrivacyConfig	interno	classes
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	br.com.sawcunhaos.foundation.privacy.config.PrivacyConfigException	interno	classes
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	br.com.sawcunhaos.foundation.privacy.config.ReDoSGuard	interno	classes
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	br.com.sawcunhaos.foundation.privacy.model.DataMask	interno	classes
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	br.com.sawcunhaos.foundation.privacy.model.DataMask$DataMaskBuilder	interno	classes
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	br.com.sawcunhaos.foundation.privacy.model.MaskStrategy	interno	classes
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.io.InputStream	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.Boolean	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.ClassLoader	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.Exception	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.Integer	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.Number	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.NumberFormatException	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.Thread	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.Throwable	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.lang.invoke.StringConcatFactory	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.util.ArrayList	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.util.Iterator	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.util.List	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.util.Locale	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.util.Map	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.util.Set	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	java.util.regex.Pattern	jdk	java.base
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	org.slf4j.Logger	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	org.slf4j.LoggerFactory	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.foundation.privacy.config.BuiltinPackLoader	org.yaml.snakeyaml.Yaml	externo	snakeyaml-2.6.jar
