de	para	tipo	origem
br.com.sawcunhaos.foundation.spring.annotation.normalizestrings.NormalizeStrings	br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	interno	classes
br.com.sawcunhaos.foundation.spring.annotation.normalizestrings.NormalizeStrings	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.normalizestrings.NormalizeStrings	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.normalizestrings.NormalizeStrings	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.normalizestrings.NormalizeStrings	java.lang.annotation.Target	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRule	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRule	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRule	java.lang.annotation.Documented	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRule	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRule	java.lang.annotation.Target	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRule	org.springframework.core.annotation.AliasFor	externo	spring-core-7.0.9.jar
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRule	org.springframework.core.annotation.Order	externo	spring-core-7.0.9.jar
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRule	org.springframework.stereotype.Component	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRuleService	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRuleService	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRuleService	java.lang.annotation.Documented	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRuleService	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRuleService	java.lang.annotation.Target	jdk	java.base
br.com.sawcunhaos.foundation.spring.annotation.rules.ScosRuleService	org.springframework.stereotype.Component	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	br.com.sawcunhaos.foundation.core.utils.StringFieldUtils	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	br.com.sawcunhaos.foundation.spring.annotation.normalizestrings.NormalizeStrings	interno	classes
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	interno	classes
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.Throwable	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.invoke.LambdaMetafactory	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.lang.reflect.Method	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.util.Arrays	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.util.function.Consumer	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.util.function.UnaryOperator	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	java.util.stream.Stream	jdk	java.base
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	org.aspectj.lang.ProceedingJoinPoint	externo	aspectjweaver-1.9.25.1.jar
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	org.aspectj.lang.Signature	externo	aspectjweaver-1.9.25.1.jar
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	org.aspectj.lang.annotation.Around	externo	aspectjweaver-1.9.25.1.jar
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	org.aspectj.lang.annotation.Aspect	externo	aspectjweaver-1.9.25.1.jar
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	org.aspectj.lang.reflect.MethodSignature	externo	aspectjweaver-1.9.25.1.jar
br.com.sawcunhaos.foundation.spring.aspect.StringProcessingAspect	org.springframework.stereotype.Component	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$1	interno	classes
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$2	interno	classes
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$3	interno	classes
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$4	interno	classes
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	java.lang.System	jdk	java.base
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$1	br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	interno	classes
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$1	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$1	org.apache.commons.lang3.StringUtils	externo	commons-lang3-3.20.0.jar
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$2	br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	interno	classes
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$2	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.spring.enums.StringTransformRule$3	br.com.sawcunhaos.foundation.spring.enums.StringTransformRule	interno	classes
