de	para	tipo	origem
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.core.enums.ScosExceptionCode	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.core.exception.MethodNotImplementedException	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.core.exception.ScosException	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.core.exception.ScosNoContentException	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.core.exception.ScosNoRollbackException	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.core.specification.ExceptionCode	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.core.specification.LocaleService	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.web.model.ScosFieldError	interno	classes
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.web.model.ScosProblemDetails	interno	classes
br.com.sawcunhaos.foundation.web.ExceptionsHandler	br.com.sawcunhaos.foundation.web.utils.ExceptionUtils	interno	classes
br.com.sawcunhaos.foundation.web.ExceptionsHandler	jakarta.servlet.http.HttpServletRequest	externo	tomcat-embed-core-11.0.24.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	jakarta.servlet.http.HttpServletResponse	externo	tomcat-embed-core-11.0.24.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	jakarta.validation.ConstraintViolation	externo	jakarta.validation-api-3.1.1.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	jakarta.validation.ConstraintViolationException	externo	jakarta.validation-api-3.1.1.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	jakarta.validation.Path	externo	jakarta.validation-api-3.1.1.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	jakarta.validation.metadata.ConstraintDescriptor	externo	jakarta.validation-api-3.1.1.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.CharSequence	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.Class	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.Exception	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.Object	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.String	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.Throwable	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.invoke.LambdaMetafactory	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.ArrayList	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.Arrays	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.Collection	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.List	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.Set	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.function.Consumer	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.function.Function	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.function.IntFunction	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.stream.Collector	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.stream.Collectors	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	java.util.stream.Stream	jdk	java.base
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.slf4j.Logger	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.slf4j.LoggerFactory	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.context.MessageSourceResolvable	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.core.MethodParameter	externo	spring-core-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.http.HttpHeaders	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.http.HttpStatus	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.http.HttpStatusCode	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.http.ProblemDetail	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.http.ResponseEntity	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.http.ResponseEntity$BodyBuilder	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.http.ResponseEntity$HeadersBuilder	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.http.converter.HttpMessageNotReadableException	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.security.access.AccessDeniedException	externo	spring-security-core-7.1.1.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.security.authorization.AuthorizationDeniedException	externo	spring-security-core-7.1.1.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.validation.BindingResult	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.foundation.web.ExceptionsHandler	org.springframework.validation.FieldError	externo	spring-context-7.0.9.jar
