tipo	ga	versao	origem	scope	divergente
direta	br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-cache	1.2.0-SNAPSHOT	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-privacy	1.2.0-SNAPSHOT	effective-pom	compile	
direta	org.springframework.boot:spring-boot-starter-web	4.1.1	effective-pom	compile	
direta	org.springframework.data:spring-data-commons	4.1.1	effective-pom	compile	
direta	org.springframework.cloud:spring-cloud-context	5.0.2	effective-pom	compile	
direta	tools.jackson.dataformat:jackson-dataformat-xml	3.2.2	effective-pom	compile	
direta	org.projectlombok:lombok	1.18.46	effective-pom	compile	
direta	org.springframework.security:spring-security-core	7.1.1	effective-pom	compile	
direta	org.springframework.boot:spring-boot-starter-validation	4.1.1	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-validation-api	1.2.0-SNAPSHOT	effective-pom	compile	
direta	com.tngtech.archunit:archunit-junit5	1.5.0	gerenciada:dependencyManagement (confirmada por effective-pom)	test	
direta	org.junit.jupiter:junit-jupiter	6.0.3	effective-pom	test	
direta	org.mockito:mockito-core	5.23.0	effective-pom	test	
direta	org.mockito:mockito-junit-jupiter	5.23.0	effective-pom	test	
direta	org.springframework:spring-test	7.0.9	effective-pom	test	
direta	org.springframework.boot:spring-boot-starter-test	4.1.1	effective-pom	test	
direta	org.springframework.boot:spring-boot-webmvc-test	4.1.1	effective-pom	test	
transitiva	ch.qos.logback:logback-classic	1.5.38	transitiva	compile	
transitiva	ch.qos.logback:logback-core	1.5.38	transitiva	compile	
transitiva	com.fasterxml.jackson.core:jackson-annotations	2.22	transitiva	compile	
transitiva	com.fasterxml.woodstox:woodstox-core	7.2.1	transitiva	compile	
transitiva	com.fasterxml:classmate	1.7.3	transitiva	compile	
transitiva	com.github.spotbugs:spotbugs-annotations	4.9.8	transitiva	provided	
transitiva	com.jayway.jsonpath:json-path	2.10.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-api	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine-api	1.5.0	transitiva	test	
transitiva	com.vaadin.external.google:android-json	0.0.20131108.vaadin1	transitiva	test	
transitiva	commons-logging:commons-logging	1.3.6	transitiva	compile	
transitiva	io.lettuce:lettuce-core	7.5.2.RELEASE	transitiva	compile	
transitiva	io.micrometer:micrometer-commons	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-observation	1.17.1	transitiva	compile	
transitiva	io.netty:netty-buffer	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-base	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-dns	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-common	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-handler	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-resolver	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-resolver-dns	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-transport	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-transport-native-unix-common	4.2.17.Final	transitiva	compile	
transitiva	io.projectreactor:reactor-core	3.8.6	transitiva	compile	
transitiva	jakarta.activation:jakarta.activation-api	2.1.4	transitiva	runtime	
transitiva	jakarta.annotation:jakarta.annotation-api	3.0.0	transitiva	compile	
transitiva	jakarta.validation:jakarta.validation-api	3.1.1	transitiva	compile	
transitiva	jakarta.xml.bind:jakarta.xml.bind-api	4.0.5	transitiva	runtime	
transitiva	net.bytebuddy:byte-buddy	1.18.11	transitiva	test	
transitiva	net.bytebuddy:byte-buddy-agent	1.18.11	transitiva	test	
transitiva	net.minidev:accessors-smart	2.6.0	transitiva	test	
transitiva	net.minidev:json-smart	2.6.0	transitiva	test	
transitiva	org.apache.commons:commons-lang3	3.20.0	transitiva	compile	
transitiva	org.apache.logging.log4j:log4j-api	2.25.5	transitiva	compile	
transitiva	org.apache.logging.log4j:log4j-to-slf4j	2.25.5	transitiva	compile	
transitiva	org.apache.tomcat.embed:tomcat-embed-core	11.0.24	transitiva	compile	
transitiva	org.apache.tomcat.embed:tomcat-embed-el	11.0.24	transitiva	compile	
transitiva	org.apache.tomcat.embed:tomcat-embed-websocket	11.0.24	transitiva	compile	
transitiva	org.apiguardian:apiguardian-api	1.1.2	transitiva	test	
transitiva	org.assertj:assertj-core	3.27.7	transitiva	test	
transitiva	org.awaitility:awaitility	4.3.0	transitiva	test	
transitiva	org.codehaus.woodstox:stax2-api	4.3.0	transitiva	compile	
transitiva	org.hamcrest:hamcrest	3.0	transitiva	test	
transitiva	org.hibernate.validator:hibernate-validator	9.1.3.Final	transitiva	compile	
transitiva	org.jboss.logging:jboss-logging	3.6.3.Final	transitiva	compile	
transitiva	org.jspecify:jspecify	1.0.1	transitiva	compile	
transitiva	org.junit.jupiter:junit-jupiter-api	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-engine	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-params	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-commons	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-engine	6.0.3	transitiva	test	
transitiva	org.objenesis:objenesis	3.3	transitiva	test	
transitiva	org.opentest4j:opentest4j	1.3.0	transitiva	test	
transitiva	org.ow2.asm:asm	9.7.1	transitiva	test	
transitiva	org.reactivestreams:reactive-streams	1.0.4	transitiva	compile	
transitiva	org.skyscreamer:jsonassert	1.5.3	transitiva	test	
transitiva	org.slf4j:jul-to-slf4j	2.0.18	transitiva	compile	
transitiva	org.slf4j:slf4j-api	2.0.18	transitiva	compile	
transitiva	org.springframework.boot:spring-boot	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-autoconfigure	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-cache	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-data-commons	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-data-redis	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-http-converter	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-jackson	4.1.1	transitiva	compile	
transitiva	org.springframework.boot:spring-boot-netty	4.1.1	transitiva	runtime	
